Name,Fabric Image,Paraglider Image,Caption,Source,Glows at Night,Release Date,Name (Japanese),Caption (Japanese),Fabric ActorName,Paraglider ActorName,Menu Order
Ordinary Fabric,,,-,Default,No,05/12/23,いつもの生地,-,Obj_SubstituteCloth_Default,Parasail,01
Nostalgic Fabric,,,"Tough fabric bearing a nostalgic design. It
looks like it could be used to make a
paraglider.",Treasure Chest (Temple of Time Ruins),No,05/12/23,懐かしい柄の生地,"懐かしいデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_55,Parasail_Pattern55,02
Royal Hyrulean Fabric,,,"Tough fabric bearing a royal Hyrulean design.
It looks like it could be used to make a
paraglider.",Treasure Chest (Hyrule Castle),No,05/12/23,ハイラル王家の生地,"ハイラル王家のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_03,Parasail_Pattern03,03
Goron Fabric,,,"Tough fabric bearing a Goron design. It looks
like it could be used to make a paraglider.",Mine-Cart Land: Death Mountain,No,05/12/23,ゴロン族の生地,"ゴロン族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_00,Parasail_Pattern00,04
Zora Fabric,,,"Tough fabric bearing a Zora design. It looks
like it could be used to make a paraglider.",The Blue Stone,No,05/12/23,ゾーラ族の生地,"ゾーラ族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_01,Parasail_Pattern01,05
Gerudo Fabric,,,"Tough fabric bearing a Gerudo design.
It looks like it could be used to make a
paraglider.",Southern Oasis Training Area Race,No,05/12/23,ゲルド族の生地,"ゲルド族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_02,Parasail_Pattern02,06
Sheikah Fabric,,,"Tough fabric bearing a Sheikah design.
It looks like it could be used to make a
paraglider.",Purchase armor at Enchanted,No,05/12/23,シーカー族の生地,"シーカー族のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_05,Parasail_Pattern05,07
Zonai Fabric,,,"Tough fabric bearing a Zonai design. It looks
like it could be used to make a paraglider.",Legend of the Great Sky Island,No,05/12/23,ゾナウの生地,"ゾナウ由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_04,Parasail_Pattern04,08
Korok Fabric,,,"Tough fabric bearing a Korok design. It looks
like it could be used to make a paraglider.",The Secret Room,No,05/12/23,コログ族の生地,"コログ由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_14,Parasail_Pattern14,09
Hudson Construction Fabric,,,"Tough fabric bearing a Hudson Construction
design. It looks like it could be used to make
a paraglider.",Home on Arrange,No,05/12/23,エノキダ工務店の生地,"エノキダ工務店のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_12,Parasail_Pattern12,10
Lucky Clover Gazette Fabric,,,"Tough fabric bearing a Lucky Clover Gazette
design. It looks like it could be used to make
a paraglider.",Potential Princess Sightings! (2 Stables),No,05/12/23,シロツメ新聞社の生地,"シロツメ新聞のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_11,Parasail_Pattern11,11
Lurelin Village Fabric,,,"Tough fabric bearing a Lurelin Village design.
It looks like it could be used to make a
paraglider.",Rattled Ralera,No,05/12/23,ウオトリー村の生地,"ウオトリー村のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_10,Parasail_Pattern10,12
Horse-God Fabric,,,"Tough fabric bearing a design of the horse
god, Malanya. It looks like it could be used to
make a paraglider.",5 Pony Points Reward,No,05/12/23,馬神様の生地,"馬の神 マーロンのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_09,Parasail_Pattern09,13
Monster-Control-Crew Fabric,,,"Tough fabric bearing a monster-control-crew
design. It looks like it could be used to make
a paraglider.",Complete all monster control quests,No,05/12/23,討伐隊の生地,"討伐隊のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_07,Parasail_Pattern07,14
Zonai Survey Team Fabric,,,"Tough fabric bearing a Zonai Survey Team
design. It looks like it could be used to make
a paraglider.",Messages from an Ancient Era,No,05/12/23,ゾナウ調査隊の生地,"ゾナウ調査隊のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_08,Parasail_Pattern08,15
Cece Fabric,,,"Tough fabric bearing a Cece-brand design.
It looks like it could be used to make a
paraglider.",Sayge,No,05/12/23,SAGONOの生地,"SAGONOのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_17,Parasail_Pattern17,16
Addison's Fabric,,,"Tough fabric bearing an image of Hudson,
hand-drawn by Addison. It looks like it could
be used to make a paraglider.",Complete all 81 Addison signs,Yes,05/12/23,カバンダお手製の生地,"カバンダの描いたエノキダがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_56,Parasail_Pattern56,17
Robbie's Fabric,,,"Tough handmade fabric bearing a Purah Pad
design. It looks like it could be used to make
a paraglider.",Complete the Compendium,No,05/12/23,ロベリーお手製の生地,"プルアパッド由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_16,Parasail_Pattern16,18
Koltin's Fabric,,,"Tough fabric bearing a Satori design,
handmade by Koltin. It looks like it could be
used to make a paraglider.",Give Koltin all 147 Bubbulfrog Gems,Yes,05/12/23,コルテンお手製の生地,"サトリのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_13,Parasail_Pattern13,19
Yiga Fabric,,,"Tough fabric bearing a Yiga design. It looks
like it could be used to make a paraglider.",Yiga Clan Hideout Challenge #1,No,05/12/23,イーガ団の生地,"イーガ団のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_06,Parasail_Pattern06,20
Horse Fabric,,,"Tough fabric bearing a horse design. It looks
like it could be used to make a paraglider.",Sayge (Horse Picture),No,05/12/23,馬の生地,"馬のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_21,Parasail_Pattern21,21
Cucco Fabric,,,"Tough fabric bearing a Cucco design. It looks
like it could be used to make a paraglider.",Sayge (Cucco Picture),No,05/12/23,コッコの生地,"コッコのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_20,Parasail_Pattern20,22
Eldin-Ostrich Fabric,,,"Tough fabric bearing an Eldin-ostrich design.
It looks like it could be used to make a
paraglider.",Sayge (Eldin Ostrich Picture),No,05/12/23,オルディンダチョウの生地,"オルディンダチョウのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_19,Parasail_Pattern19,23
Grizzlemaw-Bear Fabric,,,"Tough fabric bearing a grizzlemaw-bear
design. It looks like it could be used to make
a paraglider.",Sayge (Grizzlemaw Bear Picture),No,05/12/23,コウテイヒグマの生地,"コウテイヒグマのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_15,Parasail_Pattern15,24
Chuchu Fabric,,,"Tough fabric bearing a Chuchu design.
It looks like it could be used to make a
paraglider.",Sayge (Chuchu Picture),Yes,05/12/23,チュチュの生地,"チュチュのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_22,Parasail_Pattern22,25
Aerocuda Fabric,,,"Tough fabric bearing an Aerocuda design.
It looks like it could be used to make a
paraglider.",Sayge (Aerocuda Picture),Yes,05/12/23,カックーダの生地,"カックーダのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_18,Parasail_Pattern18,26
Stalnox Fabric,,,"Tough fabric bearing a Stalnox design.
It looks like it could be used to make a
paraglider.",Sayge (Stalnox Picture),Yes,05/12/23,スタルヒノックスの生地,"スタルヒノックスのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_25,Parasail_Pattern25,27
Lynel Fabric,,,"Tough fabric bearing a Lynel design. It looks
like it could be used to make a paraglider.",Sayge (Lynel Picture),No,05/12/23,ライネルの生地,"ライネルのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_23,Parasail_Pattern23,28
Gleeok Fabric,,,"Tough fabric bearing a Gleeok design. It looks
like it could be used to make a paraglider.",Sayge (Gleeok Picture),No,05/12/23,グリオークの生地,"グリオークのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_24,Parasail_Pattern24,29
Tunic of Memories Fabric,,,"Tough fabric bearing a Tunic of Memories
design. It looks like it could be used to make
a paraglider.",Breath of the Wild Archer Link amiibo,No,05/12/23,思い出の服の生地,"思い出の服のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_26,Parasail_Pattern26,30
Champion's Leathers Fabric,,,"Tough fabric bearing a Champion's leathers
design. It looks like it could be used to make
a paraglider.",Tears of the Kingdom amiibo,No,05/12/23,新式・英傑の服の生地,"新式・英傑の服のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_51,Parasail_Pattern51,31
Pixel Fabric,,,"Tough fabric bearing a pixel design. It looks
like it could be used to make a paraglider.",8-bit Link amiibo,No,05/12/23,ドットの生地,"ドットのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_46,Parasail_Pattern46,32
Bokoblin Fabric,,,"Tough fabric bearing a Bokoblin design. It
looks like it could be used to make a
paraglider.",Bokoblin amiibo,No,05/12/23,ボコブリンの生地,"ボコブリンのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_34,Parasail_Pattern34,33
Lon Lon Ranch Fabric,,,"Tough fabric bearing a Lon Lon Ranch
design. It looks like it could be used to make
a paraglider.",Ocarina of Time / Smash Young Link amiibo,No,05/12/23,ロンロン牧場の生地,"ロンロン牧場由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_40,Parasail_Pattern40,34
Majora's Mask Fabric,,,"Tough fabric bearing a Majora's Mask design.
It looks like it could be used to make a
paraglider.",Majora's Mask amiibo,Yes,05/12/23,ムジュラの仮面の生地,"ムジュラの仮面のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_41,Parasail_Pattern41,35
Sword-Spirit Fabric,,,"Tough fabric bearing a sword-spirit design. It
looks like it could be used to make a
paraglider.",Skyward Sword Link amiibo,No,05/12/23,剣の精霊生地,"剣の精霊由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_45,Parasail_Pattern45,36
Hylian-Hood Fabric,,,"Tough fabric bearing a Hylian-hood design.
It looks like it could be used to make a
paraglider.",Breath of the Wild Rider Link amiibo,No,05/12/23,ハイリアのフードの生地,"ハイリアのフードのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_27,Parasail_Pattern27,37
Egg Fabric,,,"Tough fabric bearing an egg design. It looks
like it could be used to make a paraglider.",Link's Awakening amiibo,No,05/12/23,たまご柄の生地,"たまごのデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_48,Parasail_Pattern48,38
Princess Zelda Fabric,,,"Tough fabric bearing a Princess Zelda design.
It looks like it could be used to make a
paraglider.",Tears of the Kingdom Zelda amiibo,No,11/03/23,ゼルダ姫の生地,"ゼルダ姫由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_52,Parasail_Pattern52,39
Hyrule-Princess Fabric,,,"Tough fabric bearing a princess's design.
It looks like it could be used to make a
paraglider.",Breath of the Wild Zelda amiibo,No,05/12/23,ハイラル王女の生地,"ハイラル王女のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_28,Parasail_Pattern28,40
Bygone-Royal Fabric,,,"Tough fabric bearing a bygone-royal design.
It looks like it could be used to make a
paraglider.",Toon Zelda amiibo,No,05/12/23,滅びし王家の生地,"滅びし王家のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_43,Parasail_Pattern43,41
Goddess Fabric,,,"Tough fabric bearing a goddess design. It
looks like it could be used to make a
paraglider.",Zelda & Loftwing amiibo,No,05/12/23,女神の生地,"女神由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_49,Parasail_Pattern49,42
Sheik Fabric,,,"Tough fabric bearing a Sheik design. It looks
like it could be used to make a paraglider.",Sheik amiibo,No,05/12/23,シークの生地,"シーク由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_37,Parasail_Pattern37,43
Gerudo-King Fabric,,,"Tough fabric bearing a Gerudo-king design.
It looks like it could be used to make a
paraglider.",Tears of the Kingdom Ganondorf amiibo,No,11/03/23,ゲルド王の生地,"ゲルド王のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_53,Parasail_Pattern53,44
Zora-Champion Fabric,,,"Tough fabric bearing a Zora Champion's
design. It looks like it could be used to make
a paraglider.",Mipha amiibo,No,05/12/23,ゾーラの英傑生地,"ゾーラの英傑由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_31,Parasail_Pattern31,45
Goron-Champion Fabric,,,"Tough fabric bearing a Goron Champion's
design. It looks like it could be used to make
a paraglider.",Daruk amiibo,No,05/12/23,ゴロンの英傑生地,"ゴロンの英傑由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_29,Parasail_Pattern29,46
Rito-Champion Fabric,,,"Tough fabric bearing a Rito Champion's
design. It looks like it could be used to make
a paraglider.",Revali amiibo,No,05/12/23,リトの英傑生地,"リトの英傑由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_30,Parasail_Pattern30,47
Gerudo-Champion Fabric,,,"Tough fabric bearing a Gerudo Champion's
design. It looks like it could be used to make
a paraglider.",Urbosa amiibo,No,05/12/23,ゲルドの英傑生地,"ゲルドの英傑由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_32,Parasail_Pattern32,48
Ancient-Sheikah Fabric,,,"Tough fabric bearing an ancient Sheikah
design. It looks like it could be used to make
a paraglider.",Guardian amiibo,Yes,05/12/23,古代シーカー紋様の生地,"古代シーカー紋様があしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_33,Parasail_Pattern33,49
Mirror of Twilight Fabric,,,"Tough fabric bearing a Mirror of Twilight
design. It looks like it could be used to make
a paraglider.",Twilight Princess Link / Smash Link / Wolf Link amiibo,Yes,05/12/23,陰りの鏡の生地,"陰りの鏡のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_38,Parasail_Pattern38,50
King of Red Lions Fabric,,,"Tough fabric bearing a King of Red Lions
design. It looks like it could be used to make
a paraglider.",Toon Link / Smash Toon Link amiibo,No,05/12/23,赤獅子の王の生地,"赤獅子の王由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_36,Parasail_Pattern36,51
Princess of Twilight Fabric,,,"Tough fabric bearing a Princess of Twilight
design. It looks like it could be used to make
a paraglider.",Smash Zelda amiibo,No,05/12/23,黄昏の姫君の生地,"黄昏の姫君の装束のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_39,Parasail_Pattern39,52
Demon King Fabric,,,"Tough fabric bearing a Demon King design.
It looks like it could be used to make a
paraglider.",Smash Ganondorf amiibo,No,05/12/23,魔王の生地,"魔王由来のデザインがあしらわれた
パラセールの生地として使えそうな丈夫な布",Obj_SubstituteCloth_35,Parasail_Pattern35,53