Recipe #,Name,Inventory Icon,Caption,Required Ingredient 1,Required Ingredient 2,Required Ingredient 3,Required Ingredient 4,Required Ingredient 5,Cooking Method,Effect,Effect Level,Effect Duration,Base Hearts Recovered,Base Sell Price,Buy Price,Fusable,Fuse Attack Power,Fuse Property 1,Fuse Property 2,Fuse Property 3,Fuse Property 4,Fuse Property 5,Destroyed on Hit,Eat Animation,Caption (Elixir Level 2),Caption (Elixir Level 3),Name (Japanese),Caption (Japanese),ActorName,ActorName (Level 1),ActorName (Level 2),ActorName (Level 3)
001,Mushroom Skewer,,"This simple mushroom-packed skewer has its
colorful presentation to thank for its appeal.",Mushroom,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼きキノコ,"キノコの風味が香るシンプルな串焼き
カラフルな見た目が食欲をそそる",Item_Cook_A_01,-,-,-
002,Meat and Mushroom Skewer,,"A filling dish made by grilling various
mountain ingredients with meat.",Mushroom,Meat,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き肉キノコ添え,"新鮮な肉をメインに 山の恵みをふんだんに使った
ボリューム満点の串焼き料理",Item_Cook_A_09,-,-,-
003,Fish and Mushroom Skewer,,"A simple dish made by cooking skewered
fresh fish alongside fragrant mushrooms.",Mushroom,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き魚キノコ添え,"新鮮な魚の串焼きに香りの高いキノコを添えた
シンプルながら味わい深い料理",Item_Cook_A_08,-,-,-
004,Meat Skewer,,"A juicy, filling snack made by grilling small
chunks of meat on a skewer.",Meat,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き肉,"大自然の恵み ケモノ肉を
豪快に焼き上げたジューシーな串焼き",Item_Cook_B_06,-,-,-
005,Fish Skewer,,"A simple dish made by cooking chunks of
fresh fish on a skewer.",Fish,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,串焼き魚,"採れたての魚を串に刺して焼き上げた
シンプルながらもっとも魚の味を楽しめる料理",Item_Cook_B_05,-,-,-
006,Seafood Skewer,,"A skewer of delicious roasted fish
and shellfish.",Seafood,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,魚貝串焼き,"魚や貝などの素材を組み合わせた串焼き
魚介の旨味が堪能できる料理",Item_Cook_B_23,-,-,-
007,Copious Meat Skewers,,"Just shove a bunch of meat onto a skewer,
and you're good to go.",Meat,Meat,Meat,Meat,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,山盛串焼き肉,"異なる種類の肉を使った 贅沢な串焼き
焼き肉好きならば 一度は食べてみたい料理",Item_Cook_B_16,-,-,-
008,Copious Seafood Skewers,,"It's just a whole heap of stuff shoved onto a
skewer, but it's still a pretty tasty dish.",Fish,Fish,Fish,Fish,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,山盛串焼き魚,"色々な種類の魚を ふんだんに使った串焼き
焼魚好きには たまらない逸品",Item_Cook_B_15,-,-,-
009,Steamed Fruit,,"A regional dish made by steaming near-
ripened fruits in the leaves of fragrant plants.",Plant,Fruit,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,蒸し焼き果実,"完全に熟す前のフルーツを
香りの高い山菜で包んで蒸し焼きにした郷土料理",Item_Cook_A_03,-,-,-
010,Steamed Tomatoes,,"Tomato cooked while wrapped in a leaf. The
heat brings out its medicinal effect.",Plant,Hylian Tomato,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山菜トマト蒸し焼き,"薬効のある植物の葉で トマトを包んで焼いた料理
火を通しているため 消化吸収の効率が高い",Item_Cook_Q_03,-,-,-
011,Steamed Mushrooms,,"A healthy vegetable dish achieved by
steaming mushrooms in plant leaves.",Plant,Mushroom,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,包み焼きキノコ,"香りの良い山菜でキノコを包んで焼き上げた
ヘルシーな野菜料理",Item_Cook_A_02,-,-,-
012,Steamed Meat,,"This meat dish has been wrapped in fragrant
leaves and steamed to preserve its moisture.",Plant,Meat,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,包み焼き肉,"肉のうまみを逃がさないよう
香りの良い山菜で包んで焼き上げた蒸し焼き",Item_Cook_A_05,-,-,-
013,Steamed Fish,,"A refined dish made by wrapping a fresh fish
in fragrant wild greens and cooking it.",Plant,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,包み焼き魚,"新鮮な魚を香りの強い野草で包み
じっくり焼き上げた手の込んだ料理",Item_Cook_A_04,-,-,-
014,Sautéed Peppers,,"The spiciness of these sautéed peppers has
been broken by the heat for a sweeter taste.",Spicy Pepper,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,炒めポカポカ,"ポカポカ草の実だけで作った珍しい炒め物
辛さの中に かすかなうまみを感じる",Item_Cook_B_21,-,-,-
015,Sautéed Nuts,,"These sautéed tree seeds are the perfect
snack for the busy adventurer on the go!",Nut,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ナッツ炒め,"森の木の実を香ばしく炒めた かんたん料理
栄養満点で小腹が空いた時にぴったりのおやつ",Item_Cook_B_22,-,-,-
016,Fried Wild Greens,,"A basic vegetable dish made by sautéing
fresh wild plants.",Plant,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,焼き山菜,"一番簡単な野菜料理
フレッシュな野草を さっと炒めた一品",Item_Cook_B_01,-,-,-
017,Copious Fried Wild Greens,,"A healthy dish made by cooking mixed 
greens over a strong flame.",Plant,Plant,Plant,Plant,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山盛焼き山菜,"体に良い山菜をたくさん使い
強火で焼き上げた体にとても良い料理",Item_Cook_B_11,-,-,-
018,Cooked Stambulb,,"A wild dish of a whole stambulb roasted
with its skin on. Sweet and tasty.",Stambulb,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,丸ごと焼き,"皮に包まれたままのガンバリ草を 丸ごと焼いた
ワイルドな料理 甘くホクホクしておいしい",Item_Cook_Q_06,-,-,-
019,Buttered Stambulb,,"A simple dish of stambulb sautéed with
goat butter. Sweet with a hint of spice.",Stambulb,Goat Butter,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,バター炒め,"ガンバリ草をヤギのバターで炒めたシンプル料理
塩味と甘味がほど良く 香ばしい風味がたまらない",Item_Cook_Q_07,-,-,-
020,Copious Mushroom Skewers,,"Fans of fungal cuisine can't resist this simple
mushroom-skewer dish. Very filling.",Mushroom,Mushroom,Mushroom,Mushroom,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,山盛焼きキノコ,"キノコ好きが最後に行き着くという
シンプルな串焼きキノコ 結構お腹がふくれる",Item_Cook_B_13,-,-,-
021,Spiced Meat Skewer,,"A special Goron spice covers up the scent
of the meat, allowing its flavor to shine.",Raw Meat,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,ケモノステーキ,"ゴロン族特製のスパイスが 肉の臭み消しになり
素材の旨味が引き立ったステーキ",Item_Cook_P_03,-,-,-
022,Prime Spiced Meat Skewer,,"The simple preparation of this steak dish
belies its complex taste profile.",Raw Prime Meat,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,上ケモノステーキ,"上質な肉に特製スパイスを効かせたステーキ
シンプルながら奥の深い味を楽しめる",Item_Cook_P_04,-,-,-
023,Gourmet Spiced Meat Skewer,,"The rich aroma and juicy texture of this high-
quality meat puts it in a league of its own.",Raw Gourmet Meat,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,極上ケモノステーキ,"最高の肉を香辛粉のみで味付けしたステーキ
豊かな香りと濃厚な肉汁は 格別な味わい",Item_Cook_P_05,-,-,-
024,Crab Stir-Fry,,"The Goron spice used in preparing this crab
pairs perfectly with the flavor of its meat.",Crab,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,炒めガニ,"ゴロンの香辛粉を効かせたカニの炒め物
スパイシーな味付けは カニの身と相性抜群",Item_Cook_D_10,-,-,-
025,Meat and Seafood Fry,,"A filling dish made by cooking fresh seafood
and meat together.",Meat,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山海焼き,"新鮮な肉や魚をこんがりと焼き上げた
ボリューム満点の料理",Item_Cook_B_17,-,-,-
026,Prime Meat and Seafood Fry,,"This comfort dish is made with choice cuts
of meat and seafood.",Tier 2 Meat,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,上山海焼き,"上質な肉と魚を組み合わせた焼きもの
ただの山海焼きより 上品で深い味わい",Item_Cook_B_18,-,-,-
027,Gourmet Meat and Seafood Fry,,"A marriage of the choicest cuts of meat and
seafood. As delicious as it is filling!",Tier 3 Meat,Fish,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,極上山海焼き,"最上級の肉と新鮮な魚を 一緒に焼き上げた料理
味も食べごたえも まさに極上なひと品",Item_Cook_B_19,-,-,-
028,Salt-Grilled Greens,,"A health-boosting dish made with leafy
greens and a touch of salt.",Plant,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,塩焼き山菜,"植物や野菜だけで作った
とっても体によい料理",Item_Cook_D_02,-,-,-
029,Salt-Grilled Mushrooms,,"A basic mushroom dish made by lightly
salting mushrooms and grilling them.",Mushroom,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,塩焼きキノコ,"キノコに軽く岩塩をまぶして焼いた
もっともシンプルな料理",Item_Cook_D_01,-,-,-
030,Salt-Grilled Meat,,"Short on ingredients? Just rub some meat in
salt and cook it for a simple, tasty dish.",Tier 1 Meat,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,岩塩焼き肉,"分厚い肉に天然の岩塩をまぶして焼き上げた
シンプルだからこそ際立つ素材のおいしさ",Item_Cook_D_04,-,-,-
031,Salt-Grilled Prime Meat,,"A simple yet exquisite dish made by grilling
high-quality meat on top of rock salt.",Tier 2 Meat,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,上岩塩焼き肉,"上質な肉を岩塩の上で焼き上げた
シンプルながら贅沢な焼き肉",Item_Cook_D_05,-,-,-
032,Salt-Grilled Gourmet Meat,,"This lavish grilled dish makes liberal use of
high-quality cuts of meat.",Tier 3 Meat,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,極上岩塩焼き肉,"貴重な極上肉を使った 最高級焼き肉
素材の味を活かすために 岩塩だけで味付している",Item_Cook_D_06,-,-,-
033,Salt-Grilled Fish,,"A simple dish made by rolling a whole fish in
natural rock salt before grilling it.",Fish,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,塩焼き魚,"天然の岩塩をまぶして焼き上げた
シンプルな魚料理 ただ焼いただけで十分おいしい",Item_Cook_D_03,-,-,-
034,Salt-Grilled Crab,,"Nine out of ten fishermen agree crab is best
enjoyed grilled and with just a bit of salt.",Crab,Rock Salt,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,岩塩焼きガニ,"カニを食べ慣れた漁師が一番おいしいと言うのが
このシンプルな食べ方 ホクホクの身がたまらない",Item_Cook_D_09,-,-,-
035,Herb Sauté,,"A fragrant mixture of herbs and spices.
It's easily recognized by its unique aroma.",Plant,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,香草炒め,"香りの強い素材を スパイスと一緒に炒めて作った
野菜炒め 独特の香りがクセになる一品",Item_Cook_P_02,-,-,-
036,Fragrant Mushroom Sauté,,"The fragrant aroma of this sautéed spice and
mushroom dish makes your mouth water.",Mushroom,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,香りキノコ炒め,"キノコをスパイスで炒めたひと皿
刺激的な香りが食欲をそそる",Item_Cook_P_01,-,-,-
037,Pepper Steak,,"The meat has been cooked in crushed
peppers to accent its natural taste.",Meat,Spicy Pepper,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,スパイシー焼き肉,"ポカポカ草の実をすり込んで焼く事で
肉の臭みを消してうま味を引き出した肉料理",Item_Cook_D_07,-,-,-
038,Pepper Seafood,,"The pepper seeds grilled with this seafood
draw out its taste and pleasant aroma.",Fish,Spicy Pepper,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,スパイシー焼き魚,"ポカポカ草の実を使って魚の臭みを消しつつ
香ばしさを際立たせた焼き料理",Item_Cook_D_08,-,-,-
039,Fragrant Seafood Stew,,"A tasty dish of seafood and stambulb cooked
in oil. Its aroma will whet your appetite.",Fish,Stambulb,Oil Jar,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,魚貝オイル煮込み,"海鮮食材をガンバリ草たっぷりのオイルで
煮込んだ料理 強い香りが食欲をかき立てる",Item_Cook_R_05,-,-,-
040,Deep-Fried Drumstick,,"A drumstick fried in high-quality oil. It's full of
out-of-this-world flavor.",Raw Bird Drumstick,Oil Jar,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,トリ肉オイル揚げ,"トリ肉を良質なオイルで揚げた料理
中には肉の旨味が閉じ込められている",Item_Cook_R_06,-,-,-
041,Deep-Fried Thigh,,"A deep-fried bird thigh so good, it's hard to
take bites that aren't too big!",Raw Bird Thigh,Oil Jar,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,上トリ肉オイル揚げ,"質の良いトリ肉を揚げ物にした料理
お腹が空いたら 豪快にかぶりついて食べたい",Item_Cook_R_07,-,-,-
042,Deep-Fried Bird Roast,,"A deep-fried whole bird of the highest grade.
It's a standard item in any celebratory feast.",Raw Whole Bird,Oil Jar,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingSkewer,-,-,極上トリ肉オイル揚げ,"最高級のトリ肉を丸ごと揚げた
お祝いの席では定番の贅沢料理",Item_Cook_R_08,-,-,-
043,Seafood Meunière,,"Rich butter flanks fresh seafood. The secret
ingredient is lots and lots of love.",Fish,Goat Butter,Tabantha Wheat,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,魚ムニエル,"新鮮な魚をバターで両面焼き上げた料理
外側をカリッとさせるのが おいしく作るコツ",Item_Cook_H_01,-,-,-
044,Porgy Meunière,,"Popular among residents of coastal regions,
this juicy porgy is a delish dish.",Porgy,Goat Butter,Tabantha Wheat,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,鯛ムニエル,"海沿いの地域で好んで食べられる魚料理
新鮮なタイのフワフワした身が美味",Item_Cook_H_02,-,-,-
045,Salmon Meunière,,"The crispy skin of this fried hearty salmon
puts its texture in a class all its own.",Hearty Salmon,Goat Butter,Tabantha Wheat,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,サーモンムニエル,"マックスサーモンに小麦粉をまぶし バターで
焼いた料理  皮のパリパリした食感も格別",Item_Cook_H_03,-,-,-
046,Fruit and Mushroom Mix,,"This dish contrasts the sweetness of fruit with
the savoriness of mushrooms.",Mushroom,Fruit,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,果実のキノコあえ,"焼く事で果実の甘みが凝縮され
独特の食感まで生まれたアイデア料理",Item_Cook_A_07,-,-,-
047,Simmered Fruit,,"This sweet dish is made by heaping tasty
fruits into a pan and simmering until tender.",Fruit,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,煮込み果実,"そのまま食べてもおいしいフルーツを
山盛り入れて煮込んだ甘酸っぱい料理",Item_Cook_B_02,-,-,-
048,Copious Simmered Fruit,,"The flavors of the various fruits in this
simmered dish exist in perfect harmony.",Fruit,Fruit,Fruit,Fruit,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,山盛煮込み果実,"様々な味のフルーツをコトコト煮込んで
甘みが凝縮された贅沢な料理",Item_Cook_B_12,-,-,-
049,Simmered Tomato,,"When simmered until tender, nutritious
tomatoes can give this dish a sour kick.",Hylian Tomato,-,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,煮込みトマト,"栄養たっぷりのトマトを
柔らかくなるまで煮込んだ酸味のある料理",Item_Cook_Q_01,-,-,-
050,Fruity Tomato Stew,,"A colorful dish, a bounty of fruit simmered
with fresh tomatoes.",Hylian Tomato,Fresh Milk,Rock Salt,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,トマトスープ,"みずみずしいトマトを まろやかなミルクで
煮込んだスープ マイルドな酸味で飲みやすい",Item_Cook_Q_02,-,-,-
051,Tomato Mushroom Stew,,"A dish of fragrant mushrooms simmered with
tomato. Healthy and rich in fiber.",Mushroom,Hylian Tomato,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,キノコのトマト煮込み,"香り高いキノコをトマトで煮込んだ料理
食物繊維たっぷりで とってもヘルシー",Item_Cook_Q_04,-,-,-
052,Tomato Seafood Soup,,"Seafood simmered with tomato. Full of
intense flavor.",Fish,Hylian Tomato,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,魚貝トマトスープ,"魚や貝といった水産物を トマトと煮込んで
味付けした料理 様々な旨味が凝縮されている",Item_Cook_Q_05,-,-,-
053,Cream of Vegetable Soup,,"Made by simmering vegetables in milk, this
healthy dish is as simple as its ingredients.",Plant,Rock Salt,Fresh Milk,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,野菜ミルクスープ,"新鮮な野菜をミルクで煮込んだスープ
シンプルな味付で ヘルシーな仕上がり",Item_Cook_K_07,-,-,-
054,Veggie Cream Soup,,"This creamy soup showcases the sweetness
of vegetables in a veritable taste explosion.",Pumpkin or Carrot,Rock Salt,Fresh Milk,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,野菜クリームスープ,"野菜の甘みを味わえるクリーミーなスープ
じっくり煮込んであり 味わいのあるひと皿",Item_Cook_F_03,-,-,-
055,Cream of Mushroom Soup,,"This creamy mushroom-and-vegetable soup
is thick and flavorful. ",Mushroom,Plant,Rock Salt,Fresh Milk,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,キノコミルクスープ,"野菜やキノコを使ったミルクスープ
具だくさんで 食べごたえも十分",Item_Cook_K_06,-,-,-
056,Creamy Meat Soup,,"This nutritious soup contains serious portions
of lightly braised meat and many vegetables.",Meat,Plant,Rock Salt,Fresh Milk,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,肉入りミルクスープ,"軽く炙った肉を豪快に入れたミルクスープ
野菜もたっぷりで 栄養満点のひと品",Item_Cook_F_01,-,-,-
057,Creamy Seafood Soup,,"Thick-cut chunks of seafood and stock
provide a satisfying savoriness.",Fish,Plant,Rock Salt,Fresh Milk,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,魚入りミルクスープ,"ぶつ切りにした魚の身を入れたミルクスープ
ダシが効いて旨味が深くなっている",Item_Cook_F_02,-,-,-
058,Snail Chowder,,"The pleasant texture and flavor of snails
combine with butter and milk in a rich soup.",Sneaky River Snail,Tabantha Wheat,Fresh Milk,Goat Butter,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,貝のチャウダー,"食感の良い貝の旨味をバターとミルクの
濃厚なスープにしっかりと閉じ込めた逸品",Item_Cook_K_04,-,-,-
059,Creamy Heart Soup,,"Enjoying this sweet soup with another person
will bring you both closer together.",Radish,Voltfruit,Hydromelon,Fresh Milk,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ハートミルクスープ,"フルーツの甘さたっぷりのスープ  二人で一緒に
食べると仲が良くなるというジンクスがある",Item_Cook_F_04,-,-,-
060,Glazed Veggies,,"Don't like the taste of vegetables? Simply
sauté them in honey for a salty-sweet flavor!",Plant,Courser Bee Honey,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,甘露煮野菜,"ハチミツを使って野菜を甘辛く煮込んだ料理
生では食べにくい野菜もおいしくいただける",Item_Cook_A_14,-,-,-
061,Glazed Mushrooms,,"The honey in this mushroom dish gives it a
sweet, complex taste and a savory finish.",Mushroom,Courser Bee Honey,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,甘露煮キノコ,"ハチミツを加えて甘辛く煮込んだキノコ料理
濃厚で奥深い味わい",Item_Cook_A_11,-,-,-
062,Glazed Meat,,"The sweetness of the honey permeates the
meat, giving it a complex taste profile.",Meat,Courser Bee Honey,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,甘露煮肉,"ハチミツの甘さが肉にしみこんで
ただ焼くだけでは味わえない深い味わい",Item_Cook_A_12,-,-,-
063,Glazed Seafood,,"A seafood dish that you can actually
wolf down whole!",Fish,Courser Bee Honey,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,甘露煮魚,"ハチミツで煮込んだ甘辛い魚料理
柔らかくなった骨まで食べられる",Item_Cook_A_13,-,-,-
064,Curry Rice,,"A favorite all over Hyrule, this simple dish has
a flavor you just won't get tired of.",Hylian Rice,Goron Spice,-,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,カレーライス,"子供から大人まで みんなが大好きな定番料理
シンプルで飽きのこない味が楽しめるひと皿",Item_Cook_J_01,-,-,-
065,Vegetable Curry,,"This healthy curry is popular for its mild flavor
and moderate spiciness.",Pumpkin or Carrot,Hylian Rice,Goron Spice,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,野菜カレー,"野菜をメインにしたヘルシーなカレー
辛さ控えめの優しい味で 人気が高い",Item_Cook_J_02,-,-,-
066,Meat Curry,,"The heat from the spice allows you to enjoy
the large portion of the meat's savoriness.",Raw Meat,Hylian Rice,Goron Spice,-,-,Cooking Pot,-,-,-,-,1,-,-,-,-,-,-,-,-,-,EatCookingDish,-,-,ケモノ肉カレー,"大きなケモノ肉が入ったワイルドなカレーライス
スパイスの辛さが 肉の旨味を引き立たせている",Item_Cook_J_06,-,-,-
